listing_id,name,description,neighborhood_overview,host_id,host_name,host_since,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
49970,Beautiful Small Studio Hammersmith,Not provided,Not provided,216660,host_000,2010-08-29,f,Hammersmith and Fulham,51.49462,-0.22923,Room in serviced apartment,Hotel room,2,1.0,1 private bath,1.0,1.0,"[""Crib"", ""Pool"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hot water"", ""Stove"", ""Free street parking"", ""Bed linens"", ""Microwave"", ""Essentials"", ""Washer"", ""Iron"", ""Host greets you"", ""TV with standard cable"", ""Refrigerator"", ""Hangers"", ""Dryer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Paid parking off premises"", ""Hair dryer""]",$73.00,1,730,3,8,19,85,182,47,4,2010-12-29,2024-03-03,4.69,4.73,4.68,4.87,4.76,4.83,4.65,f,11,9,1,0,1.13
81080,Luxury Self contained Studio Apt.,Perfect Studio apartment with separate kitchen and wet room. Extra double sofa bed also provided.<br />Great work space and the most amazing views over Bushy Park.,Lots of local history - you are right on the door step of Hampton Court !!,439154,host_001,2011-03-13,f,Richmond upon Thames,51.40644,-0.33563,Entire serviced apartment,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Toaster"", ""Crib"", ""Bosch electric stove"", ""Shampoo"", ""Park view"", ""Wifi"", ""Dishwasher"", ""Cleaning products"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Pocket wifi"", ""Hot water kettle"", ""Heating"", ""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""High chair"", ""Hot water"", ""Kitchen"", ""Baking sheet"", ""EV charger"", ""Self check-in"", ""Shower gel"", ""Laundromat nearby"", ""Shared backyard \u2013 Fully fenced"", ""Wine glasses"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Free parking on premises"", ""35\"" HDTV"", ""Portable fans"", ""Microwave"", ""Lockbox"", ""Essentials"", ""Safe"", ""Freezer"", ""Coffee maker"", ""Iron"", ""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Coffee"", ""Exercise equipment: yoga mat"", ""Smoke alarm"", ""Long term stays allowed"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Ethernet connection"", ""Drying rack for clothing"", ""Oven"", ""Free washer \u2013 In unit""]",$170.00,3,730,30,60,79,309,16,0,0,2017-12-27,2022-10-30,4.81,5.0,5.0,5.0,5.0,4.94,4.81,t,5,5,0,0,0.21
282198,Georgian Aparment in Bloomsbury,Not provided,"Plenty of award winning restaurants and pubs nearby on Exmouth Market, Clerkenwell Rd, Lambs Conduit Street and St. John's Street. The British Museum is on the other side of Russell Sq, the West End and Soho all within a 20 minute walk. Shoreditch, East London's new art district is close, with galleries, boutiques and restaurants, and is a 20 minute bus ride. The Tate and the South Bank is a 20 minute bus ride to the river.",1413029,host_001,2011-11-16,f,Camden,51.52361,-0.11591,Private room in serviced apartment,Private room,2,1.0,1 private bath,1.0,1.0,"[""Bikes"", ""Heating"", ""Sound system with aux"", ""EV charger"", ""Washer"", ""Toaster"", ""Dining table"", ""Cooking basics"", ""Refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Portable fans"", ""Essentials"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Dedicated workspace"", ""Coffee"", ""Lockbox"", ""Books and reading material"", ""Freezer"", ""Wine glasses"", ""Dishes and silverware"", ""Room-darkening shades"", ""Baking sheet"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Hot water"", ""TV with standard cable"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Oven"", ""Self check-in"", ""Dishwasher"", ""Backyard"", ""Bed linens"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Outdoor furniture"", ""Microwave"", ""Smoke alarm"", ""Private patio or balcony"", ""Board games""]",$125.00,21,90,0,16,17,97,76,0,0,2012-04-02,2020-04-25,4.93,4.95,4.89,4.92,4.91,4.91,4.85,f,1,0,1,0,0.52
680656,Modern Triple Studio  Zone 2 Hammersmith (5),"Comfortable Studio for 3 persons 1 x double bed & 1 x guest bed, private kitchenette & bathroom. 300 meters from underground.",Not provided,216660,host_000,2010-08-29,f,Hammersmith and Fulham,51.49393,-0.22965,Entire serviced apartment,Entire home/apt,3,1.5,1.5 baths,1.0,2.0,"[""Shampoo"", ""Fire extinguisher"", ""Fast wifi \u2013 64 Mbps"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hot water"", ""TV"", ""Stove"", ""Microwave"", ""Essentials"", ""Washer"", ""Iron"", ""Host greets you"", ""Refrigerator"", ""Hangers"", ""Dryer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""First aid kit"", ""Cooking basics"", ""Hair dryer""]",$88.00,1,365,0,1,5,5,133,41,1,2012-12-29,2024-03-02,4.67,4.75,4.76,4.92,4.84,4.86,4.67,f,11,9,1,0,0.97
726882,West Kensington central London,"Lovely spacious double room with lots of storage, double bed and sofa bed. Central but quiet facing communal gardens.","West Kensington is mainly residential, cosmopolitan and safe place to stay.The area  has a relatively high student population, given its close proximity to Imperial College, Charing Cross Hospital, South Kensington, Hammersmith and other Central London Universities.",2608240,host_002,2012-06-11,t,Hammersmith and Fulham,51.48794,-0.20358,Private room in serviced apartment,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Shampoo"", ""Wifi"", ""Cleaning products"", ""Dishes and silverware"", ""Heating"", ""Self check-in"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water"", ""Shower gel"", ""Washer \u2013\u00a0In unit"", ""Stove"", ""Bed linens"", ""Microwave"", ""Lockbox"", ""Essentials"", ""Garden view"", ""Coffee maker"", ""Iron"", ""Refrigerator"", ""Hangers"", ""Smoke alarm"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Paid parking off premises"", ""Hair dryer"", ""Drying rack for clothing"", ""Oven""]",$51.00,2,365,0,8,26,116,303,42,0,2012-11-11,2024-01-05,4.53,4.65,4.64,4.63,4.88,4.52,4.56,f,6,0,6,0,2.19
854102,Cosy double,Not provided,Not provided,216660,host_000,2010-08-29,f,Hammersmith and Fulham,51.49365,-0.22927,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hot water"", ""TV"", ""Stove"", ""Free street parking"", ""Essentials"", ""Iron"", ""Host greets you"", ""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Long term stays allowed"", ""Fast wifi \u2013 72 Mbps"", ""First aid kit"", ""Cooking basics"", ""Paid parking off premises"", ""Hair dryer""]",$76.00,1,1125,3,3,3,3,62,11,1,2013-05-16,2024-02-24,4.69,4.71,4.73,4.95,4.79,4.84,4.7,f,11,9,1,0,0.47
1059114,Chelsea Apartment,A beautifully presented modern one bedroom apartment located in the prestigious Grosvenor Waterside development north of the river by Chelsea bridge. Moments from Sloane Square and the popular Kings Road. Nearest tube Sloane Square.,"The Grosvenor Waterside complex also includes a gym, luxury health spa, restaurant, grocery store and pre-school nursery.",3865811,host_003,2012-10-14,f,Westminster,51.4877,-0.1511,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shampoo"", ""Dishwasher"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water"", ""TV"", ""Backyard"", ""Stove"", ""Bed linens"", ""Single level home"", ""Microwave"", ""Essentials"", ""Washer"", ""Elevator"", ""Iron"", ""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Long term stays allowed"", ""Cooking basics"", ""Hair dryer"", ""Oven""]",$499.00,90,500,29,59,89,364,111,0,0,2014-09-01,2019-08-04,4.68,4.77,4.62,4.81,4.91,4.8,4.73,f,1,1,0,0,0.95
1644873,Shoreditch patch with  private roof terrace,"Top floor furnished apartment Brick Lane Area- Shoreditch. The apartment features a huge private roof garden with mature olive and magnolia trees, and a living Bamboo perimeter enclosure.",Not provided,7072553,host_004,2013-06-23,t,Tower Hamlets,51.52323,-0.06708,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Elevator"", ""Heating"", ""City skyline view"", ""Washer"", ""Toaster"", ""Bosch electric stove"", ""Cooking basics"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Kitchen"", ""Microwave"", ""Body soap"", ""Courtyard view"", ""Dedicated workspace"", ""Coffee"", ""Lockbox"", ""Coffee maker"", ""Wine glasses"", ""Bosch stainless steel single oven"", ""Free parking on premises"", ""Shower gel"", ""Dishes and silverware"", ""55\"" HDTV with Netflix"", ""Hangers"", ""Iron"", ""Hot water"", ""Cleaning products"", ""Self check-in"", ""Backyard"", ""Bed linens"", ""Drying rack for clothing"", ""Clothing storage"", ""Bathtub"", ""Shampoo"", ""Smoke alarm""]",$116.00,1,180,12,21,24,168,17,17,0,2023-08-18,2024-02-14,4.88,5.0,4.94,4.88,5.0,4.94,4.82,t,1,1,0,0,2.34
1432552,MODERN Apartment 15min to Oxford St,"A bright and very clean 2 bedroom apartment available in the great location 2 minutes from Queen's Park station in a tree-lined Brondesbury Road. Beautifully furnished with a living room, 2 bedrooms, a kitchen and a bathroom.","Great area: Situated in a lovely, tree-lined street and convenient for the bars, restaurants, park  and farmer's market of fashionable Queen's Park, the flat makes an ideal base from which to visit London's attractions (London Zoo, Regent's Park, Madame Tussaud's, British Museum, Trafalgar Square, London Eye, Shard, Tower Of London etc), shops (West End, Harrods, Westfield, Stratford, etc), and culture (theatres, galleries, South Bank and cinemas). <br /><br />Some of our local hot picks: <br /><br />Gail's Artisan Bakery<br />Milk Beach restaurant<br />Salusbury Wine and Food Store <br />Salusbury Pub<br />Bob’s Cafe<br />Mitchiko Sushino<br />Planet Organic",1616720,host_005,2012-01-17,t,Brent,51.5341,-0.20258,Entire serviced apartment,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Toaster"", ""Room-darkening shades"", ""Shampoo"", ""City skyline view"", ""Wifi"", ""Dishwasher"", ""Coffee maker: Nespresso"", ""Cleaning products"", ""Paid parking lot on premises \u2013 2 spaces"", ""Dishes and silverware"", ""Hot water kettle"", ""EV charger"", ""Self check-in"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water"", ""Baking sheet"", ""Shower gel"", ""Bathtub"", ""Stove"", ""Clothing storage: closet"", ""Wine glasses"", ""Central heating"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""50\"" HDTV with standard cable"", ""Paid standalone high chair - available upon request"", ""Bed linens"", ""Portable fans"", ""Microwave"", ""Private entrance"", ""Lockbox"", ""Pears body soap"", ""Essentials"", ""Paid street parking off premises"", ""Freezer"", ""Baby bath - available upon request"", ""Garden view"", ""Iron"", ""Refrigerator"", ""Hangers"", ""Books and reading material"", ""Cleaning available during stay"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Carbon monoxide alarm"", ""Coffee"", ""Paid crib - available upon request"", ""Smoke alarm"", ""Long term stays allowed"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Dining table"", ""Ethernet connection"", ""Conditioner"", ""Drying rack for clothing"", ""Oven"", ""Free washer \u2013 In unit""]",$161.00,1,1125,21,37,56,141,132,19,2,2014-03-24,2024-03-09,4.79,4.82,4.84,4.96,4.92,4.75,4.67,t,15,15,0,0,1.08
2708091,30% OFF | 2 Bed Apt With Parking | Long Stays,"Book today through Greenstay Serviced Accommodation<br /><br />We welcome Families, Friends, Groups & Business Travellers.<br /><br />➞ Looking to relocate within UK or Abroad?<br />➞ Working in the area for short term?<br />➞ Help with emergency accommodation?<br />➞ Business Stays or Contractors Work?<br />➞ Perfect for International Students to settle whilst you find your perfect permanent home.<br /><br />For the best rate contact “GREENSTAY SERVICED ACCOMMODATION” directly.<br /><br />Any questions message us and will get back ASAP","Welcome to one of the finest riverside addresses in London. Downstream you will find the bright lights of Soho, the buzz of Covent Garden and the grandeur of the Royal Palaces. Beyond them the City, Borough Market and all the exciting developments along the South Bank, right down to Tower Bridge.<br /><br />Across the river, the shops of The King's Road, the cafés and bars of Fulham and the music venues of Hammersmith. Then, when you want to escape the city bustle, you are ideally placed for getting away to the south coast, the M4, M25, Heathrow and Gatwick.<br /><br />On your doorstep there are a wide range of restaurants, bars and retailers, combining the best in food and shopping with stunning views. See a famous show in the West End or shop at the many designer boutiques on the King's Road and Sloane Street, which are just a short journey across Wandsworth Bridge. Be inspired by the world famous Tate Modern art gallery or dine in one of London's exceptional cafés and restaurants, m",13858459,host_006,2014-04-03,t,Wandsworth,51.46639,-0.18086,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Toaster"", ""Clothing storage: closet and dresser"", ""Room-darkening shades"", ""Park view"", ""Dishwasher"", ""Cleaning products"", ""Fire extinguisher"", ""Fast wifi \u2013 64 Mbps"", ""Dishes and silverware"", ""Hot water kettle"", ""Kitchen"", ""Hot water"", ""Bathtub"", ""Wine glasses"", ""Central heating"", ""Bed linens"", ""Free parking on premises"", ""Microwave"", ""Essentials"", ""Freezer"", ""Ceiling fan"", ""Hair dryer"", ""Elevator"", ""Iron"", ""Host greets you"", ""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Siemens gas stove"", ""Smoke alarm"", ""Long term stays allowed"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""55\"" HDTV"", ""Dining table"", ""Drying rack for clothing"", ""Oven"", ""Free washer \u2013 In unit""]",$250.00,28,365,18,48,61,61,4,3,0,2019-08-28,2024-01-27,5.0,5.0,5.0,5.0,5.0,5.0,4.75,t,1,1,0,0,0.07
